               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10539,            0.088412,             0.03789,           0.0091877,            0.091357,           0.0046254,          0.00092307,            0.089635,            0.094003,            0.036254,             0.00166,             0.00166,             0.08506
                   1,            0.091633,             0.10098,            0.035387,            0.050949,             0.13482,            0.037861,              0.0072,            0.081327,            0.091914,            0.032985,           0.0033299,           0.0033299,             0.07003
                   2,            0.084406,            0.086819,            0.030356,             0.22547,             0.40475,             0.20785,            0.045464,            0.070943,            0.070007,            0.022827,           0.0049995,           0.0049995,               0.055
                   3,             0.08227,            0.070865,            0.019189,             0.31271,             0.50767,             0.34421,            0.098771,            0.068364,            0.068914,            0.013119,           0.0066685,           0.0066685,            0.039969
                   4,            0.081888,             0.06707,            0.011519,             0.41721,             0.57801,             0.46023,            0.098142,            0.069146,            0.058066,              0.0071,           0.0083367,           0.0083367,            0.024937
                   5,             0.08075,            0.062543,            0.008142,             0.43151,             0.62392,             0.38729,             0.10741,            0.065943,            0.062583,           0.0063187,           0.0099938,           0.0099938,           0.0099938
                   6,            0.075886,             0.06619,           0.0067495,             0.32523,             0.64854,             0.35159,            0.068954,            0.069505,            0.052188,           0.0045044,           0.0099938,           0.0099938,           0.0099938
